1.5,1.5,1.5,1.5,1.5,1.0895207
1.5,1.5,1.5,1.5,2.5,0.61166996
1.5,1.5,1.5,2.5,1.5,1.1291862
1.5,1.5,1.5,2.5,2.5,0.66117144
1.5,1.5,2.5,1.5,1.5,0.91438186
1.5,1.5,2.5,1.5,2.5,0.5247257
1.5,1.5,2.5,2.5,1.5,0.92872703
1.5,1.5,2.5,2.5,2.5,0.60616964
1.5,2.5,1.5,1.5,1.5,1.0284705
1.5,2.5,1.5,1.5,2.5,0.5568325
1.5,2.5,1.5,2.5,1.5,1.0681359
1.5,2.5,1.5,2.5,2.5,0.62389934
1.5,2.5,2.5,1.5,1.5,0.85954434
1.5,2.5,2.5,1.5,2.5,0.5203769
1.5,2.5,2.5,2.5,1.5,0.8852423
1.5,2.5,2.5,2.5,2.5,0.56889755
2.5,1.5,1.5,1.5,1.5,0.88126534
2.5,1.5,1.5,1.5,2.5,0.541893
2.5,1.5,1.5,2.5,1.5,1.0083618
2.5,1.5,1.5,2.5,2.5,0.62333703
2.5,1.5,2.5,1.5,1.5,0.79156995
2.5,1.5,2.5,1.5,2.5,0.5203769
2.5,1.5,2.5,2.5,1.5,0.873014
2.5,1.5,2.5,2.5,2.5,0.5683352
2.5,2.5,1.5,1.5,1.5,0.83778065
2.5,2.5,1.5,1.5,2.5,0.5203769
2.5,2.5,1.5,2.5,1.5,0.96487695
2.5,2.5,1.5,2.5,2.5,0.58606493
2.5,2.5,2.5,1.5,1.5,0.7542979
2.5,2.5,2.5,1.5,2.5,0.5203769
2.5,2.5,2.5,2.5,1.5,0.8357419
2.5,2.5,2.5,2.5,2.5,0.53106314
1.1,1.1,1.1,1.1,1.1,1.6725972
1.1,1.1,1.1,1.1,2.9,0.799893
1.1,1.1,1.1,2.9,1.1,1.7858931
1.1,1.1,1.1,2.9,2.9,0.7461451
1.1,1.1,2.9,1.1,1.1,1.3266304
1.1,1.1,2.9,1.1,2.9,0.6664151
1.1,1.1,2.9,2.9,1.1,1.3864383
1.1,1.1,2.9,2.9,2.9,0.6188879
1.1,2.9,1.1,1.1,1.1,1.5187544
1.1,2.9,1.1,1.1,2.9,0.719149
1.1,2.9,1.1,2.9,1.1,1.6078817
1.1,2.9,1.1,2.9,2.9,0.6747203
1.1,2.9,2.9,1.1,1.1,1.1895853
1.1,2.9,2.9,1.1,2.9,0.61762553
1.1,2.9,2.9,2.9,1.1,1.2512087
1.1,2.9,2.9,2.9,2.9,0.58188593
2.9,1.1,1.1,1.1,1.1,1.0626734
2.9,1.1,1.1,1.1,2.9,0.51105773
2.9,1.1,1.1,2.9,1.1,1.3422118
2.9,1.1,1.1,2.9,2.9,0.5851699
2.9,1.1,2.9,1.1,1.1,0.8387748
2.9,1.1,2.9,1.1,2.9,0.4715158
2.9,1.1,2.9,2.9,1.1,1.0546834
2.9,1.1,2.9,2.9,2.9,0.5089489
2.9,2.9,1.1,1.1,1.1,0.9736912
2.9,2.9,1.1,1.1,2.9,0.49094555
2.9,2.9,1.1,2.9,1.1,1.2323661
2.9,2.9,1.1,2.9,2.9,0.5506085
2.9,2.9,2.9,1.1,1.1,0.7770786
2.9,2.9,2.9,1.1,2.9,0.46475002
2.9,2.9,2.9,2.9,1.1,0.9715202
2.9,2.9,2.9,2.9,2.9,0.4915459
